Short name,Long name,UN membership
Morocco,Kingdom of Morocco,UN member state
Mozambique,Republic of Mozambique,UN member state
Myanmar,Republic of the Union of Myanmar,UN member state
Namibia,Republic of Namibia,UN member state
Nauru,Republic of Nauru,UN member state
Nepal,Federal Democratic Republic of Nepal,UN member state
Netherlands,Kingdom of the Netherlands,UN member state
New Zealand,,UN member state
Nicaragua,Republic of Nicaragua,UN member state
Niger,Republic of Niger,UN member state
Nigeria,Federal Republic of Nigeria,UN member state
North Macedonia,Republic of North Macedonia,UN member state
Norway,Kingdom of Norway,UN member state
Oman,Sultanate of Oman,UN member state
Pakistan,Islamic Republic of Pakistan,UN member state
Palau,Republic of Palau,UN member state
Palestine,State of Palestine,UN observer state; member of 2 UN specialized agencies
Panama,Republic of Panama,UN member state
Papua New Guinea,Independent State of Papua New Guinea,UN member state
Paraguay,Republic of Paraguay,UN member state
Peru,Republic of Peru,UN member state
Philippines,Republic of the Philippines,UN member state
Poland,Republic of Poland,UN member state
Portugal,Portuguese Republic,UN member state
Qatar,State of Qatar,UN member state
Romania,,UN member state
Russia,Russian Federation,UN member state
Rwanda,Republic of Rwanda,UN member state
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,UN member state
Saint Lucia,,UN member state
Saint Vincent and the Grenadines,,UN member state
Samoa,Independent State of Samoa,UN member state
San Marino,Republic of San Marino,UN member state
Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,UN member state
Saudi Arabia,Kingdom of Saudi Arabia,UN member state
Senegal,Republic of Senegal,UN member state
Serbia,Republic of Serbia,UN member state
Seychelles,Republic of Seychelles,UN member state
Sierra Leone,Republic of Sierra Leone,UN member state
Singapore,Republic of Singapore,UN member state
Slovakia,Slovak Republic,UN member state
Slovenia,Republic of Slovenia,UN member state
Solomon Islands,,UN member state
Somalia,Federal Republic of Somalia,UN member state
South Africa,Republic of South Africa,UN member state
South Sudan,Republic of South Sudan,UN member state
Spain,Kingdom of Spain,UN member state
Sri Lanka,Democratic Socialist Republic of Sri Lanka,UN member state
Sudan,Republic of the Sudan,UN member state
Suriname,Republic of Suriname,UN member state
Sweden,Kingdom of Sweden,UN member state
Switzerland,Swiss Confederation,UN member state
Syria,Syrian Arab Republic,UN member state
Tajikistan,Republic of Tajikistan,UN member state
Tanzania,United Republic of Tanzania,UN member state
Thailand,Kingdom of Thailand,UN member state
Togo,Togolese Republic,UN member state
Tonga,Kingdom of Tonga,UN member state
Trinidad and Tobago,Republic of Trinidad and Tobago,UN member state
Tunisia,Republic of Tunisia,UN member state
Turkey,Republic of Turkey,UN member state
Turkmenistan,,UN member state
Tuvalu,,UN member state
Uganda,Republic of Uganda,UN member state
Ukraine,,UN member state
United Arab Emirates,,UN member state
United Kingdom,United Kingdom of Great Britain and Northern Ireland,UN member state
United States,United States of America,UN member state
Uruguay,Oriental Republic of Uruguay,UN member state
Uzbekistan,Republic of Uzbekistan,UN member state
Vanuatu,Republic of Vanuatu,UN member state
Vatican City,Vatican City State,"UN observer state under the designation of ""Holy See""; member of three UN specialized agencies and the IAEA"
Venezuela,Bolivarian Republic of Venezuela,UN member state
Vietnam,Socialist Republic of Vietnam,UN member state
Yemen,Republic of Yemen,UN member state
Zambia,Republic of Zambia,UN member state
Zimbabwe,Republic of Zimbabwe,UN member state
